Name,unpol.18x275_pip_ACC_opt6
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,16614
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
10,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.012,0.0,0.05,0.945,0.9,1.0,550000000.0,779000.0,60800000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
11,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0135,0.0,0.05,1.16,1.0,1.5,155000000.0,185000.0,16300000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
12,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.95e-05,3.98107e-05,6.30957e-05,0.0151,0.0,0.05,1.69,1.5,2.0,18800000.0,64400.0,1880000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
13,1 - 1 - 2001,19800.0,1.0630145812734648,1.0,1.3335216533675034,5.97e-05,3.98107e-05,6.30957e-05,0.0207,0.0,0.05,2.46,2.0,4.0,1820000.0,10000.0,146000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
14,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.98e-05,3.98107e-05,6.30957e-05,0.0674,0.05,0.1,0.0397,0.0,0.05,107000000.0,485000.0,85000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
15,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0696,0.05,0.1,0.0783,0.05,0.1,630000000.0,1180000.0,184000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
16,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0705,0.05,0.1,0.153,0.1,0.2,1210000000.0,1150000.0,52100000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
17,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0716,0.05,0.1,0.25,0.2,0.3,1420000000.0,1250000.0,50800000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
18,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0717,0.05,0.1,0.347,0.3,0.4,1170000000.0,1140000.0,37000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
19,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0717,0.05,0.1,0.447,0.4,0.5,859000000.0,973000.0,31500000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
20,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0722,0.05,0.1,0.546,0.5,0.6,596000000.0,811000.0,18500000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
21,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.97e-05,3.98107e-05,6.30957e-05,0.0721,0.05,0.1,0.647,0.6,0.7,382000000.0,649000.0,12300000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
22,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0723,0.05,0.1,0.746,0.7,0.8,265000000.0,541000.0,7620000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
23,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0715,0.05,0.1,0.846,0.8,0.9,169000000.0,432000.0,5840000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
24,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.97e-05,3.98107e-05,6.30957e-05,0.0716,0.05,0.1,0.947,0.9,1.0,104000000.0,339000.0,3570000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
25,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.0714,0.05,0.1,1.17,1.0,1.5,34500000.0,87200.0,908000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
26,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.95e-05,3.98107e-05,6.30957e-05,0.0727,0.05,0.1,1.71,1.5,2.0,6000000.0,36400.0,194000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
27,1 - 1 - 2001,19800.0,1.0630145812734648,1.0,1.3335216533675034,5.97e-05,3.98107e-05,6.30957e-05,0.0745,0.05,0.1,2.59,2.0,4.0,714000.0,6270.0,16200.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
28,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.98e-05,3.98107e-05,6.30957e-05,0.121,0.1,0.15,0.0803,0.05,0.1,198000000.0,661000.0,150000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
29,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.122,0.1,0.15,0.156,0.1,0.2,520000000.0,757000.0,109000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
30,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.122,0.1,0.15,0.25,0.2,0.3,693000000.0,874000.0,23000000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
31,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,0.348,0.3,0.4,617000000.0,825000.0,21700000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
32,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,0.448,0.4,0.5,454000000.0,707000.0,15600000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
33,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.122,0.1,0.15,0.547,0.5,0.6,330000000.0,603000.0,11700000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
34,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.95e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,0.647,0.6,0.7,217000000.0,489000.0,8100000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
35,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,0.746,0.7,0.8,152000000.0,410000.0,6810000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
36,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.95e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,0.846,0.8,0.9,93600000.0,321000.0,3250000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
37,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.96e-05,3.98107e-05,6.30957e-05,0.124,0.1,0.15,0.945,0.9,1.0,61600000.0,261000.0,2760000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
38,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.97e-05,3.98107e-05,6.30957e-05,0.123,0.1,0.15,1.18,1.0,1.5,21100000.0,68300.0,941000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
39,1 - 1 - 2001,19800.0,1.0295630140987,1.0,1.3335216533675034,5.99e-05,3.98107e-05,6.30957e-05,0.124,0.1,0.15,1.68,1.5,2.0,4310000.0,30900.0,195000.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
40,1 - 1 - 2001,19800.0,1.0770329614269007,1.0,1.3335216533675034,6.01e-05,3.98107e-05,6.30957e-05,0.121,0.1,0.15,2.43,2.0,4.0,438000.0,4920.0,24300.0,1.0,True,0.01,0.95,10.0,39600.0,0.938,0.139
