Name,unpol.18x100_km_HB_opt3
Comment,Ralf's pseudo data for EIC.
Reference,Ralf
Process type,SIDIS
Number of points,13472
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
0,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0137,0.0,0.05,0.155,0.1,0.2,42800000.0,137000.0,40600000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
1,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.013,0.0,0.05,0.249,0.2,0.3,58000000.0,160000.0,51100000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
2,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0132,0.0,0.05,0.348,0.3,0.4,59700000.0,162000.0,50000000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
3,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0136,0.0,0.05,0.45,0.4,0.5,50800000.0,149000.0,39900000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
4,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0134,0.0,0.05,0.548,0.5,0.6,40900000.0,134000.0,27900000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
5,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0142,0.0,0.05,0.647,0.6,0.7,28100000.0,111000.0,19400000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
6,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0122,0.0,0.05,0.748,0.7,0.8,17900000.0,88600.0,11000000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
7,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000155,0.0001,0.000158489,0.016,0.0,0.05,0.847,0.8,0.9,13000000.0,75700.0,7520000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
8,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000155,0.0001,0.000158489,0.0163,0.0,0.05,0.945,0.9,1.0,7900000.0,58900.0,3650000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
9,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0147,0.0,0.05,1.15,1.0,1.5,2370000.0,14400.0,1330000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
10,1 - 1 - 2022,7200.0,1.014889156509222,1.0,1.3335216533675034,0.000155,0.0001,0.000158489,0.0246,0.0,0.05,1.64,1.5,2.0,268000.0,4850.0,179000.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
11,1 - 1 - 2022,7200.0,1.0099504938362078,1.0,1.3335216533675034,0.000154,0.0001,0.000158489,0.0187,0.0,0.05,2.44,2.0,4.0,26100.0,757.0,14900.0,1.0,True,0.01,0.95,10.0,14400.0,0.938,0.139
